proposal_id,primary_cluster,primary_ratio,secondary_cluster,secondary_ratio,tertiary_cluster,tertiary_ratio
3296,16,0.47058823529411764,8,0.29411764705882354,13,0.17647058823529413
3307,8,0.45454545454545453,12,0.2727272727272727,6,0.2727272727272727
3308,2,0.65,16,0.15,12,0.1
3309,13,0.5,1,0.2777777777777778,12,0.2222222222222222
3310,2,0.8333333333333334,16,0.125,4,0.041666666666666664
3311,2,0.5652173913043478,11,0.17391304347826086,16,0.13043478260869565
3312,18,0.5555555555555556,11,0.1111111111111111,1,0.1111111111111111
3313,16,0.5555555555555556,13,0.25925925925925924,14,0.14814814814814814
3315,15,0.3870967741935484,6,0.3225806451612903,11,0.06451612903225806
3316,13,0.6,1,0.2,11,0.13333333333333333
3317,13,0.6,3,0.24,2,0.12
3318,12,0.3,1,0.2,16,0.2
332,9,0.7272727272727273,2,0.18181818181818182,13,0.09090909090909091
3320,13,0.75,1,0.125,6,0.125
3321,2,0.6,12,0.12,16,0.08
3322,2,0.8125,16,0.125,3,0.0625
3323,3,0.6111111111111112,11,0.16666666666666666,13,0.1111111111111111
3325,16,0.42105263157894735,2,0.3684210526315789,9,0.10526315789473684
3326,16,0.4375,2,0.3125,1,0.125
3327,2,0.7272727272727273,16,0.18181818181818182,8,0.045454545454545456
3328,13,0.3333333333333333,16,0.3333333333333333,8,0.3333333333333333
3329,2,0.4,11,0.1,3,0.1
3330,2,0.38461538461538464,13,0.3076923076923077,11,0.15384615384615385
3331,2,0.5,16,0.4375,6,0.0625
3332,3,0.4482758620689655,8,0.20689655172413793,11,0.1724137931034483
3333,2,0.36363636363636365,16,0.24242424242424243,1,0.12121212121212122
3335,6,0.5555555555555556,13,0.2777777777777778,5,0.16666666666666666
3336,12,0.2962962962962963,16,0.2222222222222222,18,0.1111111111111111
3337,13,0.625,6,0.25,5,0.0625
3338,3,0.3333333333333333,8,0.2916666666666667,2,0.25
3373,9,0.5333333333333333,16,0.26666666666666666,12,0.06666666666666667
3395,3,0.5217391304347826,2,0.2608695652173913,11,0.17391304347826086
3396,13,0.5,16,0.3333333333333333,8,0.16666666666666666
3397,2,0.7142857142857143,12,0.2857142857142857,-1,0.0
3398,2,0.4642857142857143,16,0.39285714285714285,13,0.14285714285714285
3399,2,0.7407407407407407,12,0.2222222222222222,15,0.037037037037037035
3400,2,0.5,3,0.2857142857142857,13,0.14285714285714285
3401,13,0.3181818181818182,16,0.2727272727272727,2,0.18181818181818182
3402,18,0.6086956521739131,7,0.30434782608695654,16,0.043478260869565216
3403,2,0.7142857142857143,18,0.23809523809523808,11,0.047619047619047616
3404,13,0.4666666666666667,3,0.4666666666666667,2,0.06666666666666667
3405,13,0.4666666666666667,6,0.26666666666666666,3,0.2
3406,12,0.5333333333333333,1,0.13333333333333333,11,0.1
3407,13,0.45454545454545453,6,0.22727272727272727,2,0.13636363636363635
3408,13,0.6206896551724138,2,0.13793103448275862,12,0.06896551724137931
3409,13,0.6285714285714286,1,0.11428571428571428,11,0.11428571428571428
3410,19,0.2857142857142857,13,0.2857142857142857,2,0.21428571428571427
3411,1,0.38095238095238093,12,0.38095238095238093,2,0.14285714285714285
3413,18,0.4230769230769231,13,0.2692307692307692,1,0.15384615384615385
3414,13,0.42857142857142855,1,0.2857142857142857,18,0.21428571428571427
3415,4,0.8275862068965517,11,0.10344827586206896,9,0.06896551724137931
3416,13,0.5263157894736842,1,0.15789473684210525,12,0.15789473684210525
3417,4,0.8823529411764706,11,0.058823529411764705,9,0.058823529411764705
3418,12,0.4444444444444444,1,0.3333333333333333,2,0.1111111111111111
3419,12,0.4444444444444444,13,0.2222222222222222,1,0.16666666666666666
3420,13,0.6875,6,0.125,9,0.0625
3421,2,0.875,15,0.0625,12,0.0625
3422,13,0.5,5,0.25,6,0.16666666666666666
3423,13,0.3333333333333333,18,0.3333333333333333,11,0.16666666666666666
3424,13,0.625,16,0.125,2,0.125
3426,8,0.4166666666666667,16,0.3333333333333333,13,0.25
3427,2,0.5454545454545454,13,0.2727272727272727,6,0.09090909090909091
